3.6	419 1747 1685 1497 1294 1404 820 419 700 380 1300 932	1096 380 989 620 1294 1404 820 1096 380 989 700 1300
3.4	1283 1601 385 1283 875 556 380 1933 1150 1065 1283 2102	1283 1084 1601 380 2043 1283 32 1065 785 398
3.8	3 1165 1497 1933 1643 1325 385 419 215	3 1368 1497 1933 1643 1325 820 1294 1404
2.9	1283 382 380 1494 419 2139	1237 2057 1497 1478 385 1283 547 1568
4.2	2183 1165 1497 1819 385 1921 1070 1283 28 810	2183 1165 1497 1819 385 1283 28 810
2.6	1825 461 1497 1658 1126 1943 1610 385 1283 1522 992 49	1283 1187 725 1070 5 461 380 1658 1126 1283 1522
3.2	1308 380 1065 1283 875 820 802 1978 820 380 1819 1065 419 901	1283 1978 380 2043 1819 1690 1065 419 901 1070 419 1827
4.6	1237 210 1497 1294 1663 1283 223	1237 210 1497 1294 1663 1283 1277
4.9	1283 749 385 802 380 1420	1283 749 380 275 802 30 820 380 1420
4.2	1096 380 989 749 385 802 1420	1283 749 385 802 380 1420
2.7	419 834 385 1921 1070 419 1415 1420 749 380 949	1283 749 385 802 380 1420
3.3	1283 749 385 802 380 1420	419 1415 749 380 1420 385 1921 1070 419 949 834
1.9	419 1165 1070 1283 1228 1497 1294 820 1787	1124 5 700 380 1420 820 350 64 1497 757
4.7	1283 2300 380 1065 206 1070 419 1418 820 380 1933 1283 1014 561	1283 2300 380 1065 206 1070 419 1418 820 380 1420
3.1	1283 620 380 1819 911 419 612	419 620 380 1954 893 419 43 416
3.9	1283 1346 1601 380 1294 1283 921	1283 1601 440 344 820 1343 2201 820 380 1294 1283 921
3.8	1124 458 2276 1179 380 1911 385 1383	1283 1747 2276 1179 380 1911 385 1383
1.3	1283 725 1070 1165 385 1409 380 1819 1126 1283 120 820 1096 380 989 785 1571 419 418	1283 460 1070 461 380 374 419 612
4.4	1283 572 820 802 256 380 981 893 419 713 1118	1283 572 820 802 256 380 1594 893 419 2121 1118
4.3	1283 802 820 1869 256 380 981 893 419 713 820 130 1118	1283 802 820 1869 256 380 981 893 1283 1131
3.6	1283 700 380 1180 374 1283 15 820 380 145 1283 833	1283 700 380 1819 374 1283 15 820 380 145 1065 1283 2271 1298
4.1	1283 725 1070 1364 1497 630 893 419 1118	1283 725 1070 768 1497 863 893 419 1118
4.0	1237 56 1497 2087 1283 151 1821 1283 532 1065 1283 513 1078	1237 56 1110 763 1497 1065 419 167 1070 1283 513 1078
3.3	1283 1024 380 703 820 2043 1283 1757	1283 1415 749 380 757 1126 419 1281
3.3	419 1179 275 154 2079 680 1397 820 1283 680 131 380 2043 1283 15	680 1397 820 1283 680 131 1497 737 1171 1656 104 1663 1843 1110 154 2079 1077 15 2043 461
2.4	419 1179 275 154 2079 680 1397 820 1283 680 131 380 2043 1283 15	1283 1562 1179 380 1147 680 571 469 628 275 657
3.1	1283 2030 380 275 1974 2006 380 875	1283 2030 275 875 380 1274 419 297
3.5	1283 1179 380 2087 2150 1283 871 2006 380 116 1187 820 1205 1124 1540 1269	1283 1179 380 1759 1065 1283 871 2006 380 116 1187 820 2131 1124 1540 1269
3.5	1283 620 380 985 1690 1283 2095 2022 1419 469 985 820 380 521 1171 1283 1565	1283 186 620 478 2061 2119 380 1065 1283 985 2095
3.5	1283 700 380 737 538 1283 411 1669 419 2237 1146 808 380 374 419 416	419 700 380 538 1283 411 1669 419 2237 1146 808 380 374 419 416
3.3	785 700 380 985 1283 2298 1110 1283 1565	1283 1601 1110 680 985 1974 357 419 742
4.6	1283 1601 380 985 1283 742 1110 1283 1565 2006 380 680	785 700 380 985 1283 2298 1110 1283 1565
3.4	785 802 256 380 943 1126 419 875 39	1237 210 1070 967 669 1497 757 1126 164 2173 915 1283 39
2.8	1283 256 2006 380 436 820 875 380 385 1283 1643 1950 820 380 1733 1283 712 385 1301 249	1283 256 1824 1171 1283 223 2006 380 1509 1283 686 380 1955 1283 1115
3.9	1283 1825 56 385 1283 1041 1497 981 911	1283 1825 56 385 1283 1041 1497 981 1230
3.9	1283 1825 56 385 1283 1041 1497 981 911	1283 1825 56 1497 981 1653 911
4.0	419 411 380 213 182 385 419 237	1283 620 1065 1283 1341 1911 385 237 380 275 1283 1943 556 820 1283 875 441 820 380 182 1065 1467 1501
3.1	1283 1179 478 380 458 380 374 1283 802 256	1283 1179 820 1283 256 1497 1180 1065 1283 223 1493
